product_id,sku_code,product_name,brand,category,packaging_type,volume_ml,alcohol_percentage,launch_date,product_status
134,SKU00134,Desperados 551ml,Birra Moretti,Non-Alcoholic,Can,697,8.59,2022-07-07,Active
135,SKU00135,Amstel 444ml,Amstel,Beer,Bottle,567,5.24,2023-02-20,Active
136,SKU00136,Tiger 598ml,Desperados,Beer,Bottle,462,1.61,2022-04-02,Discontinued
137,SKU00137,Heineken 318ml,Tiger,Cider,Bottle,510,1.15,2025-03-06,Discontinued
138,SKU00138,Tiger 432ml,Desperados,Cider,Bottle,638,8.12,2021-11-01,Active
139,SKU00139,Desperados 290ml,Birra Moretti,Non-Alcoholic,Can,472,2.34,2024-11-22,Active
140,SKU00140,Amstel 568ml,Birra Moretti,Beer,Can,470,7.31,2023-10-06,Active
141,SKU00141,Desperados 669ml,Birra Moretti,Beer,Can,403,2.11,2024-11-14,Active
142,SKU00142,Heineken 460ml,Birra Moretti,Beer,Can,629,6.01,2021-07-15,Active
143,SKU00143,Amstel 639ml,Heineken,Cider,Keg,586,3.52,2021-07-15,Discontinued
144,SKU00144,Birra Moretti 408ml,Birra Moretti,Cider,Bottle,557,4.31,2021-03-06,Active
145,SKU00145,Birra Moretti 368ml,Heineken,Non-Alcoholic,Can,301,0.86,2025-03-13,Active
146,SKU00146,Desperados 255ml,Heineken,Cider,Can,424,8.08,2021-09-03,Active
147,SKU00147,Amstel 617ml,Amstel,Cider,Keg,671,1.66,2021-02-18,Discontinued
148,SKU00148,Desperados 398ml,Amstel,Non-Alcoholic,Bottle,557,4.44,2023-11-28,Active
149,SKU00149,Desperados 309ml,Birra Moretti,Non-Alcoholic,Keg,600,4.61,2022-03-08,Discontinued
150,SKU00150,Desperados 552ml,Birra Moretti,Beer,Keg,520,7.53,2022-08-30,Discontinued
151,SKU00151,Amstel 513ml,Birra Moretti,Cider,Keg,292,2.36,2023-11-07,Active
152,SKU00152,Desperados 271ml,Tiger,Beer,Can,617,7.39,2023-01-29,Active
153,SKU00153,Heineken 605ml,Tiger,Non-Alcoholic,Keg,662,8.86,2023-03-07,Discontinued
154,SKU00154,Heineken 285ml,Birra Moretti,Beer,Keg,282,3.15,2023-09-22,Discontinued
155,SKU00155,Birra Moretti 578ml,Desperados,Beer,Bottle,621,0.8,2021-03-18,Active
156,SKU00156,Heineken 316ml,Birra Moretti,Beer,Can,413,2.91,2021-11-12,Discontinued
157,SKU00157,Amstel 358ml,Birra Moretti,Beer,Can,287,3.76,2025-03-22,Discontinued
158,SKU00158,Heineken 253ml,Desperados,Beer,Bottle,658,9.53,2025-08-18,Active
159,SKU00159,Tiger 475ml,Heineken,Non-Alcoholic,Bottle,461,2.81,2024-11-08,Discontinued
160,SKU00160,Amstel 383ml,Heineken,Non-Alcoholic,Can,557,0.42,2023-07-28,Active
161,SKU00161,Birra Moretti 270ml,Amstel,Non-Alcoholic,Can,682,8.78,2022-06-11,Active
162,SKU00162,Heineken 324ml,Tiger,Cider,Can,399,5.67,2024-05-06,Discontinued
163,SKU00163,Birra Moretti 601ml,Desperados,Non-Alcoholic,Can,657,2.05,2022-10-16,Active
164,SKU00164,Heineken 439ml,Desperados,Beer,Keg,649,3.89,2024-06-13,Active
165,SKU00165,Tiger 412ml,Amstel,Beer,Keg,597,3.8,2022-05-12,Discontinued
166,SKU00166,Tiger 462ml,Desperados,Non-Alcoholic,Keg,409,5.65,2022-09-14,Active
167,SKU00167,Amstel 312ml,Desperados,Non-Alcoholic,Bottle,389,7.26,2020-12-29,Discontinued
168,SKU00168,Birra Moretti 350ml,Heineken,Cider,Bottle,271,9.54,2021-08-27,Discontinued
169,SKU00169,Amstel 575ml,Heineken,Non-Alcoholic,Bottle,251,2.45,2024-07-14,Discontinued
170,SKU00170,Tiger 689ml,Heineken,Cider,Keg,527,6.74,2021-05-11,Discontinued
171,SKU00171,Amstel 258ml,Heineken,Cider,Keg,401,2.89,2024-01-08,Discontinued
172,SKU00172,Tiger 375ml,Tiger,Cider,Keg,421,5.06,2023-05-07,Discontinued
173,SKU00173,Amstel 379ml,Birra Moretti,Non-Alcoholic,Bottle,669,5.84,2023-10-03,Active
174,SKU00174,Amstel 574ml,Birra Moretti,Cider,Keg,518,3.48,2024-12-30,Discontinued
175,SKU00175,Desperados 439ml,Amstel,Beer,Keg,503,4.33,2022-04-20,Active
176,SKU00176,Heineken 509ml,Tiger,Beer,Can,669,2.44,2023-05-15,Active
177,SKU00177,Heineken 389ml,Tiger,Beer,Can,630,6.23,2024-07-18,Discontinued
178,SKU00178,Amstel 520ml,Desperados,Cider,Bottle,504,8.41,2023-12-07,Active
179,SKU00179,Amstel 572ml,Heineken,Non-Alcoholic,Can,351,4.17,2024-07-04,Active
180,SKU00180,Desperados 362ml,Tiger,Non-Alcoholic,Bottle,550,5.07,2023-03-23,Discontinued
181,SKU00181,Birra Moretti 468ml,Amstel,Cider,Keg,597,8.2,2021-12-22,Active
182,SKU00182,Desperados 295ml,Amstel,Cider,Can,670,6.2,2023-01-29,Active
183,SKU00183,Desperados 597ml,Birra Moretti,Beer,Keg,285,1.25,2024-05-08,Discontinued
184,SKU00184,Heineken 299ml,Desperados,Non-Alcoholic,Bottle,558,4.55,2022-09-28,Active
185,SKU00185,Amstel 298ml,Desperados,Beer,Keg,606,0.33,2021-07-22,Active
186,SKU00186,Amstel 406ml,Heineken,Cider,Bottle,368,0.48,2021-11-21,Discontinued
187,SKU00187,Desperados 453ml,Desperados,Beer,Keg,251,0.16,2023-08-31,Discontinued
188,SKU00188,Birra Moretti 405ml,Desperados,Non-Alcoholic,Bottle,501,2.6,2021-11-13,Active
189,SKU00189,Heineken 590ml,Amstel,Non-Alcoholic,Can,537,9.87,2023-01-11,Active
190,SKU00190,Tiger 420ml,Birra Moretti,Non-Alcoholic,Bottle,667,8.13,2024-05-04,Active
191,SKU00191,Tiger 369ml,Tiger,Cider,Keg,591,4.65,2025-08-04,Discontinued
192,SKU00192,Heineken 565ml,Desperados,Cider,Bottle,365,0.61,2025-04-16,Discontinued
193,SKU00193,Desperados 652ml,Tiger,Cider,Bottle,298,1.04,2023-12-27,Discontinued
194,SKU00194,Amstel 355ml,Heineken,Cider,Can,654,1.24,2025-10-01,Discontinued
195,SKU00195,Heineken 608ml,Amstel,Non-Alcoholic,Bottle,452,2.24,2022-09-14,Active
196,SKU00196,Amstel 622ml,Birra Moretti,Beer,Bottle,332,5.67,2024-01-21,Active
197,SKU00197,Heineken 315ml,Heineken,Non-Alcoholic,Bottle,425,4.82,2025-08-11,Discontinued
198,SKU00198,Heineken 446ml,Amstel,Cider,Bottle,555,9.85,2021-06-28,Active
199,SKU00199,Amstel 620ml,Desperados,Beer,Bottle,597,8.59,2022-12-13,Active
200,SKU00200,Heineken 494ml,Birra Moretti,Cider,Bottle,489,2.46,2024-09-15,Discontinued
201,SKU00201,Heineken 433ml,Birra Moretti,Non-Alcoholic,Keg,605,6.15,2025-09-17,Discontinued
202,SKU00202,Heineken 434ml,Tiger,Cider,Keg,544,0.99,2021-06-20,Discontinued
203,SKU00203,Birra Moretti 530ml,Tiger,Beer,Bottle,345,5.38,2022-11-07,Discontinued
204,SKU00204,Heineken 340ml,Birra Moretti,Cider,Keg,618,8.67,2025-08-19,Active
205,SKU00205,Birra Moretti 652ml,Desperados,Non-Alcoholic,Bottle,519,8.74,2025-04-07,Active
206,SKU00206,Desperados 536ml,Desperados,Non-Alcoholic,Can,298,2.49,2024-03-27,Discontinued
207,SKU00207,Tiger 376ml,Birra Moretti,Beer,Keg,373,9.76,2022-10-04,Active
208,SKU00208,Desperados 265ml,Tiger,Beer,Can,544,8.86,2022-09-20,Active
209,SKU00209,Desperados 274ml,Birra Moretti,Beer,Keg,580,2.07,2023-02-22,Discontinued
210,SKU00210,Birra Moretti 600ml,Amstel,Non-Alcoholic,Can,515,2.31,2025-07-04,Active
211,SKU00211,Desperados 556ml,Tiger,Beer,Keg,691,0.31,2021-01-09,Active
212,SKU00212,Birra Moretti 695ml,Amstel,Non-Alcoholic,Can,377,6.11,2021-02-18,Discontinued
213,SKU00213,Birra Moretti 333ml,Desperados,Non-Alcoholic,Can,395,6.74,2024-12-11,Active
214,SKU00214,Amstel 414ml,Desperados,Beer,Bottle,537,0.42,2020-12-30,Discontinued
215,SKU00215,Birra Moretti 295ml,Heineken,Non-Alcoholic,Keg,289,8.72,2023-03-11,Active
216,SKU00216,Desperados 627ml,Amstel,Cider,Can,290,9.95,2024-01-15,Active
217,SKU00217,Birra Moretti 493ml,Heineken,Cider,Bottle,659,9.3,2022-08-19,Discontinued
218,SKU00218,Tiger 508ml,Tiger,Non-Alcoholic,Keg,393,6.01,2024-01-09,Active
219,SKU00219,Heineken 548ml,Heineken,Cider,Keg,424,2.81,2023-04-13,Discontinued
220,SKU00220,Amstel 533ml,Tiger,Cider,Bottle,374,7.93,2024-07-26,Discontinued
221,SKU00221,Heineken 323ml,Desperados,Non-Alcoholic,Can,494,3.87,2020-11-21,Active
222,SKU00222,Desperados 446ml,Heineken,Cider,Can,575,6.69,2023-09-02,Active
223,SKU00223,Birra Moretti 542ml,Birra Moretti,Beer,Keg,660,2.33,2023-01-05,Active
224,SKU00224,Tiger 542ml,Birra Moretti,Non-Alcoholic,Can,396,1.22,2021-07-29,Active
225,SKU00225,Desperados 469ml,Desperados,Non-Alcoholic,Keg,450,4.04,2025-05-15,Active
226,SKU00226,Desperados 311ml,Birra Moretti,Beer,Keg,483,7.96,2021-12-21,Active
227,SKU00227,Tiger 509ml,Heineken,Beer,Keg,366,0.89,2021-10-28,Active
228,SKU00228,Amstel 266ml,Desperados,Beer,Can,573,7.23,2025-02-26,Active
229,SKU00229,Desperados 338ml,Heineken,Beer,Bottle,548,5.18,2023-08-27,Active
230,SKU00230,Tiger 645ml,Tiger,Cider,Bottle,267,3.29,2022-12-15,Active
231,SKU00231,Amstel 550ml,Amstel,Beer,Keg,623,2.84,2023-06-15,Active
232,SKU00232,Birra Moretti 399ml,Tiger,Cider,Keg,395,1.54,2023-02-06,Discontinued
233,SKU00233,Amstel 562ml,Tiger,Non-Alcoholic,Can,397,7.32,2021-06-20,Discontinued
234,SKU00234,Birra Moretti 635ml,Heineken,Non-Alcoholic,Bottle,407,9.62,2023-03-30,Active
235,SKU00235,Desperados 645ml,Amstel,Non-Alcoholic,Keg,297,9.15,2021-03-31,Discontinued
236,SKU00236,Tiger 381ml,Desperados,Non-Alcoholic,Can,498,0.63,2023-03-26,Discontinued
237,SKU00237,Birra Moretti 479ml,Birra Moretti,Beer,Keg,393,7.02,2022-01-05,Active
238,SKU00238,Tiger 351ml,Desperados,Cider,Keg,500,6.31,2024-02-23,Active
239,SKU00239,Birra Moretti 538ml,Tiger,Beer,Can,461,1.15,2023-08-02,Active
240,SKU00240,Desperados 688ml,Heineken,Beer,Keg,589,2.09,2024-03-28,Active
241,SKU00241,Desperados 607ml,Heineken,Non-Alcoholic,Bottle,666,0.04,2024-12-10,Active
242,SKU00242,Birra Moretti 603ml,Tiger,Cider,Can,305,8.21,2021-07-24,Discontinued
243,SKU00243,Amstel 339ml,Tiger,Beer,Keg,536,7.75,2023-08-19,Active
244,SKU00244,Birra Moretti 640ml,Birra Moretti,Non-Alcoholic,Bottle,468,1.12,2023-01-02,Active
245,SKU00245,Heineken 415ml,Amstel,Non-Alcoholic,Keg,399,9.95,2023-04-05,Active
246,SKU00246,Heineken 335ml,Heineken,Beer,Keg,284,4.63,2025-04-21,Active
247,SKU00247,Tiger 280ml,Desperados,Non-Alcoholic,Can,294,4.55,2025-02-13,Discontinued
248,SKU00248,Amstel 524ml,Birra Moretti,Non-Alcoholic,Can,678,8.98,2022-02-13,Active
249,SKU00249,Amstel 674ml,Heineken,Non-Alcoholic,Keg,423,7.43,2021-01-25,Discontinued
250,SKU00250,Tiger 564ml,Tiger,Cider,Can,463,6.81,2022-02-17,Discontinued
251,SKU00251,Tiger 528ml,Tiger,Cider,Bottle,351,1.67,2025-05-06,Discontinued
252,SKU00252,Heineken 457ml,Tiger,Beer,Keg,269,7.6,2024-05-16,Active
253,SKU00253,Birra Moretti 576ml,Desperados,Non-Alcoholic,Can,344,4.22,2023-01-22,Active
254,SKU00254,Birra Moretti 250ml,Desperados,Beer,Keg,456,4.15,2025-08-22,Active
255,SKU00255,Amstel 365ml,Desperados,Beer,Bottle,373,4.3,2021-02-10,Active
256,SKU00256,Amstel 560ml,Heineken,Cider,Bottle,688,5.2,2024-03-31,Discontinued
257,SKU00257,Birra Moretti 461ml,Desperados,Cider,Can,448,9.09,2021-02-08,Discontinued
258,SKU00258,Birra Moretti 624ml,Heineken,Non-Alcoholic,Can,552,5.43,2021-01-21,Active
259,SKU00259,Amstel 491ml,Desperados,Beer,Bottle,522,7.43,2022-01-11,Active
260,SKU00260,Heineken 392ml,Birra Moretti,Beer,Keg,400,9.95,2025-09-30,Discontinued
261,SKU00261,Amstel 402ml,Heineken,Beer,Keg,547,2.01,2024-08-29,Active
262,SKU00262,Heineken 692ml,Tiger,Beer,Can,618,2.13,2025-02-24,Discontinued
263,SKU00263,Amstel 660ml,Desperados,Non-Alcoholic,Can,655,7.84,2024-11-17,Discontinued
264,SKU00264,Birra Moretti 373ml,Birra Moretti,Cider,Bottle,255,3.67,2025-07-26,Active
265,SKU00265,Tiger 500ml,Birra Moretti,Cider,Can,676,7.29,2023-11-07,Discontinued
266,SKU00266,Heineken 324ml,Heineken,Non-Alcoholic,Bottle,487,6.63,2024-04-20,Discontinued
267,SKU00267,Heineken 680ml,Desperados,Beer,Bottle,421,6.47,2022-10-20,Discontinued
268,SKU00268,Desperados 358ml,Amstel,Non-Alcoholic,Bottle,549,6.93,2023-09-14,Discontinued
269,SKU00269,Amstel 351ml,Tiger,Beer,Can,477,4.15,2023-09-23,Active
270,SKU00270,Tiger 391ml,Birra Moretti,Beer,Can,432,5.76,2023-08-27,Active
271,SKU00271,Heineken 540ml,Desperados,Non-Alcoholic,Keg,399,3.93,2022-07-26,Active
272,SKU00272,Tiger 311ml,Heineken,Non-Alcoholic,Keg,264,9.52,2022-02-04,Discontinued
273,SKU00273,Desperados 687ml,Heineken,Non-Alcoholic,Can,415,0.39,2024-07-27,Discontinued
274,SKU00274,Heineken 505ml,Tiger,Cider,Keg,423,5.06,2022-02-26,Discontinued
275,SKU00275,Heineken 560ml,Tiger,Cider,Keg,254,0.28,2023-01-04,Active
